date,open,high,low,close,volume
2022-04-29,5458.915,5630.933,5443.665,5627.902,18128951200
2022-05-05,5612.496,5728.616,5606.941,5686.702,16864320800
2022-05-06,5560.976,5629.647,5542.181,5563.769,15299334100
2022-05-09,5552.476,5626.591,5537.975,5608.516,13155392900
2022-05-10,5532.6,5698.514,5519.472,5690.087,16532961300
2022-05-11,5697.429,5856.192,5696.702,5737.817,18516362700
2022-05-12,5707.556,5779.32,5687.175,5743.101,13921616900
2022-05-13,5765.317,5796.801,5731.86,5796.801,13655977500
2022-05-16,5840.243,5855.723,5767.545,5791.081,15138727500
2022-05-17,5789.916,5816.338,5724.445,5816.338,13082939100
2022-05-18,5815.605,5846.844,5785.455,5797.49,12724384500
2022-05-19,5708.801,5838.407,5700.106,5838.407,13662374000
2022-05-20,5854.014,5929.542,5849.761,5929.488,16572732900
2022-05-23,5941.142,5968.851,5908.659,5965.728,15387601700
2022-05-24,5962.149,5967.233,5745.675,5745.675,17754083400
2022-05-25,5741.235,5844.282,5736.139,5844.255,14359063500
2022-05-26,5848.026,5928.707,5780.97,5911.561,16235036200
2022-05-27,5921.332,5952.615,5854.61,5899.915,14340686200
2022-05-30,5918.243,5942.997,5867.192,5942.832,13385264700
2022-05-31,5940.372,6033.473,5902.275,6026.237,15594491800
2022-06-01,6008.752,6042.372,5970.493,6023.644,15536577300
2022-06-02,6000.618,6084.317,5987.641,6078.435,15957167500
2022-06-06,6079.885,6194.426,6070.707,6187.444,18267996300
2022-06-07,6186.577,6199.723,6136.039,6186.567,17731171800
2022-06-08,6184.96,6227.329,6110.06,6217.828,18642886400
2022-06-09,6207.727,6209.11,6088.464,6130.686,17212977500
2022-06-10,6083.501,6250.363,6078.785,6240.103,19254134000
2022-06-13,6188.766,6250.681,6172.915,6233.619,18813239700
2022-06-14,6161.62,6278.972,6061.191,6275.565,19740316500
2022-06-15,6275.371,6398.359,6261.039,6261.061,23814076500
2022-06-16,6262.287,6330.35,6242.329,6264.822,19461508300
2022-06-17,6220.583,6328.361,6181.854,6316.309,16785912900
2022-06-20,6323.406,6359.0,6277.216,6330.394,17520714600
2022-06-21,6324.841,6337.083,6215.292,6277.001,16446163000
2022-06-22,6281.867,6285.652,6176.851,6179.57,15409431800
2022-06-23,6186.987,6300.475,6142.937,6300.475,16826604400
2022-06-24,6306.829,6378.498,6304.082,6368.283,15771270400
2022-06-27,6398.36,6449.338,6390.285,6407.745,16891819100
2022-06-28,6412.44,6506.665,6392.109,6501.352,17058271100
2022-06-29,6479.17,6501.393,6370.016,6374.297,19072830800
2022-06-30,6385.215,6493.091,6385.215,6454.078,16384677500
2022-07-01,6450.75,6481.149,6423.857,6438.538,14420464300
2022-07-04,6445.075,6524.295,6405.379,6523.131,15781996900
2022-07-05,6535.454,6548.302,6435.737,6511.53,18662546900
2022-07-06,6489.021,6496.972,6359.466,6418.545,17710450200
2022-07-07,6414.408,6482.418,6380.167,6452.986,15735112300
2022-07-08,6478.291,6490.149,6404.161,6404.439,15098669800
2022-07-11,6387.449,6387.449,6274.738,6319.14,15199366600
2022-07-12,6317.878,6346.514,6238.563,6241.479,14451309200
2022-07-13,6238.68,6287.64,6207.722,6268.494,14271072300
2022-07-14,6267.472,6339.422,6254.682,6302.432,14035405000
2022-07-15,6279.677,6323.535,6196.8,6196.8,15838682800
2022-07-18,6216.1,6315.656,6200.52,6312.356,15914462400
2022-07-19,6318.837,6347.243,6283.402,6335.709,14638478000
2022-07-20,6353.003,6416.872,6351.818,6410.709,14293257300
2022-07-21,6400.066,6408.458,6347.598,6347.598,14821018400
2022-07-22,6353.925,6371.318,6236.343,6289.533,13062066900
